"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy24","Ordinal","PYPP",0.709677419354839,0.218487394957983,0.5,0.76,0.4
"Accuracy9","Ordinal","PYPP",0.828125,0.483870967741935,0.615384615384615,0.882352941176471,0.592592592592593
"Accuracy16","Ordinal","PYPP",0.78125,0.450306748466258,0.769230769230769,0.784313725490196,0.588235294117647
"Accuracy25","Ordinal","PYPP",0.709677419354839,0.218487394957983,0.5,0.76,0.4
"Accuracy33","Ordinal","PYPP",0.71875,0.324736225087925,0.692307692307692,0.725490196078431,0.5
"Accuracy10","Ordinal","PYPP",0.828125,0.483870967741935,0.615384615384615,0.882352941176471,0.592592592592593
"Accuracy17","Ordinal","PYPP",0.78125,0.450306748466258,0.769230769230769,0.784313725490196,0.588235294117647
"Accuracy26","Ordinal","PYPP",0.709677419354839,0.218487394957983,0.5,0.76,0.4
"Accuracy34","Ordinal","PYPP",0.71875,0.324736225087925,0.692307692307692,0.725490196078431,0.5
"Accuracy42","Ordinal","PYPP",0.796875,0.477386934673367,0.769230769230769,0.803921568627451,0.606060606060606
"Accuracy18","Ordinal","SYPP",0.796875,0.477386934673367,0.769230769230769,0.803921568627451,0.606060606060606
"Accuracy19","Ordinal","SYPP",0.796875,0.477386934673367,0.769230769230769,0.803921568627451,0.606060606060606
"Accuracy110","Ordinal","SYPP",0.703125,0.155555555555556,0.384615384615385,0.784313725490196,0.344827586206897
"Accuracy20","Ordinal","SYPP",0.796875,0.477386934673367,0.769230769230769,0.803921568627451,0.606060606060606
"Accuracy111","Ordinal","SYPP",0.703125,0.155555555555556,0.384615384615385,0.784313725490196,0.344827586206897
"Accuracy27","Ordinal","SYPP",0.758064516129032,0.365620736698499,0.666666666666667,0.78,0.516129032258065
"Accuracy28","Ordinal","SYPP",0.796875,0.477386934673367,0.769230769230769,0.803921568627451,0.606060606060606
"Accuracy112","Ordinal","SYPP",0.703125,0.155555555555556,0.384615384615385,0.784313725490196,0.344827586206897
"Accuracy29","Ordinal","SYPP",0.758064516129032,0.365620736698499,0.666666666666667,0.78,0.516129032258065
"Accuracy35","Ordinal","SYPP",0.640625,0.253549695740365,0.769230769230769,0.607843137254902,0.465116279069767
"Accuracy30","Ordinal","SYPP",0.796875,0.477386934673367,0.769230769230769,0.803921568627451,0.606060606060606
"Accuracy113","Ordinal","SYPP",0.703125,0.155555555555556,0.384615384615385,0.784313725490196,0.344827586206897
"Accuracy210","Ordinal","SYPP",0.758064516129032,0.365620736698499,0.666666666666667,0.78,0.516129032258065
"Accuracy36","Ordinal","SYPP",0.640625,0.253549695740365,0.769230769230769,0.607843137254902,0.465116279069767
"Accuracy43","Ordinal","SYPP",0.828125,0.577937649880096,0.923076923076923,0.803921568627451,0.685714285714286
"Accuracy37","Ordinal","YPH",0.78125,0.423423423423423,0.692307692307692,0.803921568627451,0.5625
"Accuracy38","Ordinal","YPH",0.78125,0.423423423423423,0.692307692307692,0.803921568627451,0.5625
"Accuracy114","Ordinal","YPH",0.8125,0.528834355828221,0.846153846153846,0.803921568627451,0.647058823529412
"Accuracy39","Ordinal","YPH",0.78125,0.423423423423423,0.692307692307692,0.803921568627451,0.5625
"Accuracy115","Ordinal","YPH",0.8125,0.528834355828221,0.846153846153846,0.803921568627451,0.647058823529412
"Accuracy211","Ordinal","YPH",0.854838709677419,0.519793459552496,0.583333333333333,0.92,0.608695652173913
"Accuracy40","Ordinal","YPH",0.78125,0.423423423423423,0.692307692307692,0.803921568627451,0.5625
"Accuracy116","Ordinal","YPH",0.8125,0.528834355828221,0.846153846153846,0.803921568627451,0.647058823529412
"Accuracy212","Ordinal","YPH",0.854838709677419,0.519793459552496,0.583333333333333,0.92,0.608695652173913
"Accuracy310","Ordinal","YPH",0.78125,0.497194163860831,0.923076923076923,0.745098039215686,0.631578947368421
"Accuracy44","Ordinal","YPH",0.78125,0.423423423423423,0.692307692307692,0.803921568627451,0.5625
"Accuracy117","Ordinal","YPH",0.8125,0.528834355828221,0.846153846153846,0.803921568627451,0.647058823529412
"Accuracy213","Ordinal","YPH",0.854838709677419,0.519793459552496,0.583333333333333,0.92,0.608695652173913
"Accuracy311","Ordinal","YPH",0.78125,0.497194163860831,0.923076923076923,0.745098039215686,0.631578947368421
"Accuracy45","Ordinal","YPH",0.609375,0.21875,0.769230769230769,0.568627450980392,0.444444444444444
