"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy9","Ordinal","PYPP",0.828125,0.224669603524229,0.153846153846154,1,0.266666666666667
"Accuracy16","Ordinal","PYPP",0.890625,0.577358490566038,0.461538461538462,1,0.631578947368421
"Accuracy25","Ordinal","PYPP",0.854838709677419,0.447524752475248,0.416666666666667,0.96,0.526315789473684
"Accuracy33","Ordinal","PYPP",0.765625,0.207920792079208,0.307692307692308,0.882352941176471,0.347826086956522
"Accuracy10","Ordinal","PYPP",0.828125,0.224669603524229,0.153846153846154,1,0.266666666666667
"Accuracy17","Ordinal","PYPP",0.890625,0.577358490566038,0.461538461538462,1,0.631578947368421
"Accuracy26","Ordinal","PYPP",0.854838709677419,0.447524752475248,0.416666666666667,0.96,0.526315789473684
"Accuracy34","Ordinal","PYPP",0.765625,0.207920792079208,0.307692307692308,0.882352941176471,0.347826086956522
"Accuracy42","Ordinal","PYPP",0.875,0.533697632058288,0.461538461538462,0.980392156862745,0.6
"Accuracy18","Ordinal","SYPP",0.84375,0.373776908023483,0.307692307692308,0.980392156862745,0.444444444444444
"Accuracy19","Ordinal","SYPP",0.84375,0.373776908023483,0.307692307692308,0.980392156862745,0.444444444444444
"Accuracy110","Ordinal","SYPP",0.796875,0.215094339622642,0.230769230769231,0.941176470588235,0.315789473684211
"Accuracy20","Ordinal","SYPP",0.84375,0.373776908023483,0.307692307692308,0.980392156862745,0.444444444444444
"Accuracy111","Ordinal","SYPP",0.796875,0.215094339622642,0.230769230769231,0.941176470588235,0.315789473684211
"Accuracy27","Ordinal","SYPP",0.82258064516129,0.205128205128206,0.166666666666667,0.98,0.266666666666667
"Accuracy28","Ordinal","SYPP",0.84375,0.373776908023483,0.307692307692308,0.980392156862745,0.444444444444444
"Accuracy112","Ordinal","SYPP",0.796875,0.215094339622642,0.230769230769231,0.941176470588235,0.315789473684211
"Accuracy29","Ordinal","SYPP",0.82258064516129,0.205128205128206,0.166666666666667,0.98,0.266666666666667
"Accuracy35","Ordinal","SYPP",0.859375,0.492957746478873,0.461538461538462,0.96078431372549,0.571428571428571
"Accuracy30","Ordinal","SYPP",0.84375,0.373776908023483,0.307692307692308,0.980392156862745,0.444444444444444
"Accuracy113","Ordinal","SYPP",0.796875,0.215094339622642,0.230769230769231,0.941176470588235,0.315789473684211
"Accuracy210","Ordinal","SYPP",0.82258064516129,0.205128205128206,0.166666666666667,0.98,0.266666666666667
"Accuracy36","Ordinal","SYPP",0.859375,0.492957746478873,0.461538461538462,0.96078431372549,0.571428571428571
"Accuracy43","Ordinal","SYPP",0.875,0.533697632058288,0.461538461538462,0.980392156862745,0.6
"Accuracy37","Ordinal","YPH",0.796875,0.154471544715447,0.153846153846154,0.96078431372549,0.235294117647059
"Accuracy38","Ordinal","YPH",0.796875,0.154471544715447,0.153846153846154,0.96078431372549,0.235294117647059
"Accuracy114","Ordinal","YPH",0.8125,0.3856,0.461538461538462,0.901960784313726,0.5
"Accuracy39","Ordinal","YPH",0.796875,0.154471544715447,0.153846153846154,0.96078431372549,0.235294117647059
"Accuracy115","Ordinal","YPH",0.8125,0.3856,0.461538461538462,0.901960784313726,0.5
"Accuracy211","Ordinal","YPH",0.854838709677419,0.34965034965035,0.25,1,0.4
"Accuracy40","Ordinal","YPH",0.796875,0.154471544715447,0.153846153846154,0.96078431372549,0.235294117647059
"Accuracy116","Ordinal","YPH",0.8125,0.3856,0.461538461538462,0.901960784313726,0.5
"Accuracy212","Ordinal","YPH",0.854838709677419,0.34965034965035,0.25,1,0.4
"Accuracy310","Ordinal","YPH",0.84375,0.373776908023483,0.307692307692308,0.980392156862745,0.444444444444444
"Accuracy44","Ordinal","YPH",0.796875,0.154471544715447,0.153846153846154,0.96078431372549,0.235294117647059
"Accuracy117","Ordinal","YPH",0.8125,0.3856,0.461538461538462,0.901960784313726,0.5
"Accuracy213","Ordinal","YPH",0.854838709677419,0.34965034965035,0.25,1,0.4
"Accuracy311","Ordinal","YPH",0.84375,0.373776908023483,0.307692307692308,0.980392156862745,0.444444444444444
"Accuracy45","Ordinal","YPH",0.90625,0.6928,0.692307692307692,0.96078431372549,0.75
