"","Dataset","Trait","Model","Accuracy","Kappa","Sensitivity","Specificity","F1"
"41","EYT_3_AL","GY","Conventional_TH",0.432966914754079,0.10405622983994,0.886279802069275,0.319634129311549,0.384708674585841
"42","EYT_3_AL","Height","Augmented",0.407667896717293,0.0905726852947187,0.898065677013045,0.285071917329982,0.377868791055569
"43","EYT_3_AL","Height","Augmented_TH",0.561189250485195,0.114100969626874,0.632253711201079,0.54342689568496,0.366096875941808
"44","EYT_3_AL","Height","Conventional",0.764345372694953,0.066227407873106,0.133783175888439,0.921840525066332,0.175332682161223
"45","EYT_3_AL","Height","Conventional_TH",0.371555487301842,0.0856469136632268,0.958614484930275,0.224703253735512,0.379197273013534
"46","Groundnut_AL","NPP","Augmented",0.370530913978495,0.0715958018618314,0.916666666666667,0.232705882352941,0.370060221167588
"47","Groundnut_AL","NPP","Conventional",0.832426075268817,0.304534664564285,0.257692307692308,0.97762091503268,0.370374957000344
"48","Groundnut_AL","NPP","Conventional_TH",0.737668010752688,0.375225974198165,0.746153846153846,0.735921568627451,0.536128379407978
"49","Groundnut_AL","PYPP","Augmented",0.35866935483871,0.0662265351660986,0.926923076923077,0.215398692810458,0.367453466931079
"50","Groundnut_AL","PYPP","Conventional",0.844926075268817,0.38165969690185,0.32948717948718,0.975006535947712,0.448949911009408
"51","Groundnut_AL","PYPP","Conventional_TH",0.775268817204301,0.400193560153192,0.653846153846154,0.80559477124183,0.541464316366277
"52","Groundnut_AL","SYPP","Augmented",0.361189516129032,0.0763313006877366,0.948717948717949,0.213542483660131,0.374495287335498
"53","Groundnut_AL","SYPP","Conventional",0.831182795698925,0.324283975933909,0.28974358974359,0.967241830065359,0.401882483987747
"54","Groundnut_AL","SYPP","Conventional_TH",0.745362903225806,0.346070409803025,0.656410256410257,0.767764705882353,0.504929821050575
"55","Groundnut_AL","YPH","Augmented",0.363037634408602,0.0642114061478432,0.901282051282051,0.227320261437908,0.364808849061297
"56","Groundnut_AL","YPH","Augmented_TH",0.632459677419355,0.14491386622193,0.532051282051282,0.657725490196079,0.370235184869331
"57","Groundnut_AL","YPH","Conventional",0.826176075268817,0.32027083923835,0.311538461538462,0.955555555555556,0.401023965141612
